	empathy	distress	mean
1	0.3982247322661847	0.3565799061686663	0.3774023192174255
2	0.35956556308258475	0.3773342462169167	0.3684499046497507
3	0.3931036387607401	0.3887280442285599	0.39091584149465
4	0.3978377102252234	0.3862074621044142	0.3920225861648188
5	0.4967026801835658	0.4243182358961053	0.46051045803983554
6	0.3822028330405334	0.40293357911268846	0.3925682060766109
7	0.4257006760022355	0.45949650276632037	0.44259858938427793
8	0.2929569154167404	0.3682117645282151	0.3305843399724777
9	0.3360086965172848	0.4712000077361612	0.403604352126723
10	0.30668054496730923	0.3777961390087135	0.3422383419880114
stdev	0.05946787811845681	0.038604394883849105	0.039957428331139584
mean	0.3788983990462402	0.40128058877667605	0.39008949391145814
